query,per_um,ava_um,per_dois,ava_dois,per_tres,ava_tres
qual e a temperatura corporal de 19 covid,qual e a taxa de mortalidade covid 19,0,pode o coronavirus causar baixa temperatura corporal,45,qual e a temperatura do coronavirus,80
o coronavirus vai piorar em nos,o coronavirus vai nos matar,0,o coronavirus vai matar todos nos,15,as mudancas climaticas irao piorar o covid-19?,0
quantos casos de coronavirus em dane county,casos de coronavirus no mapa dos eua,80,mapa de casos corona virus nos eua,80,quantos casos de coronavirus em lake county,0
o virus corona pode sobreviver a que temperatura,o coronavirus pode sobreviver a que temperatura,90,coronavirus pode sobreviver a quanta temperatura,90,o virus corona morrera a que temperatura,80
coronavirus vilseck alemanha,coronavirus alemanha prowein,0,coronavirus alemanha wiki,0,coronavirus na alemanha,80
virus corona berasal dari xiaomi,virus corona xiaomi,0,virus corona di xiaomi,0,virus corona menyebar hp xiaomi,0
um sistema imunologico saudavel destroi as celulas cancerosas com,como posso impulsionar meu sistema imunologico para lutar contra o cancer,70,como aumentar o cancer do sistema imunologico,70,como impulsionar seu sistema imunologico apos o cancer,70
quanto tempo o coronavirus permanece nas superficies,por quanto tempo covid-19 permanece vivo nas superficies?,100,quanto tempo o coronavirus permanece nas frutas,45,quanto tempo o coronavirus permanece nas roupas,45
ha boas noticias sobre covid-19,noticias sobre virus corona noticias sobre a china,45,noticias sobre coronavirus deutschland,45,noticias sobre coronavirus malasia,35
coronavirus posso ir para a casa dos meus amigos,coronavirus posso ver meus amigos,90,coronavirus posso ir para a academia,15,coronavirus posso visitar amigos,90
quanto tempo dura o coronavirus quando voce o pega,quanto tempo apos o contato voce pega norovirus,0,quanto tempo dura o coronavirus,90,quanto tempo dura o coronavirus se voce pega-lo,100
o que esta no projeto de lei de alivio do coronavirus,qual e o projeto de lei do coronavirus,90,o que e o pacote de alivio do coronavirus,15,sera que o covid-19 realmente nos colocara na lei marcial?,0
e seguro receber a entrega de mantimentos,e seguro receber um pacote de uma area onde covid-19 foi relatado?,25,e seguro receber um pacote de qualquer area onde covid-19 foi relatado?,25,e seguro receber um pacote de qualquer area em que a covid-19 tenha sido relatada?,25
o que sao testes para deteccao de doencas como a covid-19,o que sao testes para covid-19? que tipo de amostra e usada nos testes ?,80,os testes covid-19 sao gratuitos?,0,os testes covid-19 sao confiaveis?,0
como construir o sistema imunologico do seu bebe,como construir o sistema imunologico do meu bebe,100,como construir o sistema imunologico do bebe apos antibioticos,25,como construir o sistema imunologico no bebe,100
efeito do coronavirus no mercado de acoes,impacto do coronavirus no mercado de acoes,80,mercado imobiliario de efeito coronavirus,80,o coronavirus afetara o mercado de acoes,80
onde o virus corona se originou,de onde o virus corona se originou,100,coronavirus se originou onde,100,onde covid-19 se originou?,100
quantos afetados com coronavirus nos eua,quantos afetados com coronavirus nos estados unidos,100,quantos nos eua com coronavirus,100,quantos com coronavirus nos eua,100
o que e coronavirus e como ele se espalha,o que e coronavirus e como ele se espalha em hindi,45,o que e coronavirus e como se espalha,90,o que e coronavirus e como ele comecou,703
coronavirus e voos dos eua,coronavirus e mapa dos eua,65,coronavirus mapa dos casos dos eua,65,coronavirus cidades dos eua,65
os sobreviventes de covid-19 sao imunes,as pessoas que tem a doenca ficam imunes,80,as criancas sao imunes ao virus que causa covid-19?,0,por que as criancas sao quase imunes ao covid-19?,0
coronavirus de cachorro morre,cachorro infectado com coronavirus morre,100,video de coronavirus de cachorro,0,morte de coronavirus de cachorro,80
casos de coronavirus em roma,e coronavirus em roma,90,coronavirus roma youtube,0,coronavirus na italia roma,45
entao serei liberado apos atendimento na unidade,serei cobrado por um teste covid-19?,0,"se eu estiver infectado, serei internado?",0,serei capaz de ganhar dinheiro comprando acoes?,0
virus corona em dubai ultimas noticias,ultimas noticias sobre virus corona em dubai,90,ultimas noticias sobre o virus corona em dubai,90,coronavirus em dubai ultimas noticias,90
qual e a probabilidade de pegar o virus covid-19 durante este surto,qual a  probabilidade de eu pegar a covid-19?,80,qual a probabilidade de eu pegar covid-19 de mosquitos?,0,qual a probabilidade de o virus covid-19 sofrer mutacao e quando?,0
o virus corona e afetado pela temperatura,virus corona na india afetado,0,e o virus corona sensivel a temperatura,75,e o virus corona feito pela china,0
melhor maneira de construir o sistema imunologico antes da cirurgia,melhor maneira de construir o sistema imunologico,45,melhor maneira de fortalecer o sistema imunologico antes de viajar,0,melhor maneira de construir o sistema imunologico de caes,0
que parte do seu corpo e o seu sistema imunologico,que parte do corpo luta contra os virus,80,como impulsionar o sistema imunologico do seu corpo,0,como aumentar o sistema imunologico do seu corpo,0
coronavirus se espalha para distritos escolares locais de san diego,noticias sobre coronavirus para san diego,80,vacina de coronavirus san diego,0,e coronavirus em san diego,75
o virus corona e uma guerra biologica,o coronavirus e uma guerra biologica,90,virus corona e uma arma biologica,90,e guerra biologica do coronavirus,90
no isolamento domiciliar quais cuidados o paciente deve ter,o que e isolamento domiciliar? quais cuidados devem ser tomados no isolamento domiciliar?,90,quais cuidados devem ser tomados no isolamento domiciliar?,90,quais cuidados se deve ter com os gatos?,0
sintomas do dia do coronavirus,sintomas de coronavirus desde o dia 1,80,sintomas do coronavirus chicago,0,sintomas do virus coronavirus,75
coronavirus reino unido londres uni,coronavirus em londres reino unido,75,coronavirus manchester reino unido,75,coronavirus e reino unido,80
coronavirus te deixa com o nariz escorrendo,o coronavirus deixa voce com frio,0,o coronavirus causa nariz entupido,75,o coronavirus deixa voce constipado,80
taxa de mortalidade por coronavirus fora da china,comparacao da taxa de mortalidade por coronavirus,0,porcentagem da taxa de mortalidade por coronavirus,15,taxa de mortalidade do virus corona versus taxa de mortalidade da gripe,0
como o coronavirus acontece,virus corona como isso acontece,80,o que acontece quando eu obtiver covid-19?,55,o que acontece quando o sistema imunologico falha,0
vietnam e coronavirus,e o coronavirus no vietnam,75,vietnam urlaub coronavirus,0,coronavirus vietnam viaggiare sicuri,0
coronavirus posso ir la fora,coronavirus posso correr la fora,65,coronavirus posso andar la fora,80,o coronavirus esta no ar la fora,80
que comida constroi o sistema imunologico,o que constroi seu sistema imunologico,75,o que constroi seu sistema imunologico rapido,65,o que constroi um bom sistema imunologico,75
o que os funcionarios devem fazer se um hospede ficar doente em um estabelecimento de hospedagem,que precaucoes todos devem ter em um hotel ou outro estabelecimento de hospedagem?,45,o que os funcionarios podem fazer para se manter seguros enquanto trabalham em um hotel ou outro estabelecimento de acomodacao?,75,o que devo fazer se ficar doente durante uma viagem?,0
as mortes de covid-19 atingiram o pico,covid-19 atingiu o pico?,90,as mortes de covid-19 sao precisas?,75,as mortes de covid-19 devem ser cremadas?,0
casos de coronavirus no canada hoje,casos de coronavirus no canada,100,quantos casos de coronavirus no canada,90,novos casos de coronavirus no canada,80
devo usar uma mascara para me proteger,devo usar mascara me proteger?,100,devo usar uma mascara facial para me proteger contra o coronavirus,100,devo usar uma mascara?,100
quantos casos de coronavirus na florida por condado,quantos casos de coronavirus na georgia por condado,0,coronavirus em casos da florida por condado,100,quantos casos de coronavirus no condado de charlotte florida,0
coronavirus era uma arma biologica,virus corona era uma arma biologica,100,coronavirus e uma arma biologica,100,coronavirus como uma arma biologica,100
gravidas correm risco maior,as mulheres gravidas sao mais suscetiveis ao virus covid-19 e isso prejudicara o feto,90,covid-19 e especialmente prejudicial para mulheres gravidas,90,as mulheres gravidas correm maior risco de covid-19,100
como tornar seu sistema imunologico mais forte,como tornar seu sistema auto-imune mais forte,90,como tornar seu sistema imunologico o mais forte possivel,90,como tornar seu sistema imunologico mais forte com alimentos,80
atualizacao do medicamento coronavirus israel,atualizacao do medicamento para coronavirus em hindi,0,atualizacao de medicamento para coronavirus,65,atualizacao de medicamento de coronavirus jaipur,0
ed como o seu sistema imunologico funciona,como funciona o seu sistema imunologico,80,explique como funciona o seu sistema imunologico,80,video como funciona o seu sistema imunologico,80
covid 19 novos casos da coreia do sul,covid 19 total da coreia do sul,80,dados covid 19 da coreia do sul,80,governo covid 19 da coreia do sul,0
o que aconteceria se o teste de trunfo fosse positivo para covid-19,o trunfo esta administrando bem em covid-19,70,o que poderia acontecer se a cura para covid-19 nao fosse encontrada?,0,se o resultado do teste rapido (igm/igg) for positivo isso indica que tenho covid-19?,0
o coronavirus esta se espalhando,onde esta o coronavirus se espalhando,65,como o coronavirus esta se espalhando,65,o coronavirus ainda esta se espalhando,75
virus corona como isso acontece,corona virus china fez isso,0,como o coronavirus acontece,90,virus corona originou como,0
como estimular um sistema imunologico suprimido,como fortalecer um sistema imunologico suprimido,100,como melhorar um sistema imunologico suprimido,90,como curar um sistema imunologico suprimido,80
o que mantem seu sistema imunologico forte,o que mantem o sistema imunologico forte,100,quais alimentos mantem seu sistema imunologico forte,80,como voce mantem seu sistema imunologico forte,90
pacientes com coronavirus nos eua,pacientes com coronavirus em nos,0,coronavirus nos eua com,65,quantos com coronavirus nos eua,85
qual e a taxa de mortalidade por coronavirus,qual e aproximadamente a taxa de mortalidade real para covid-19,100,porcentagem de mortalidade por coronavirus,100,idade taxa de mortalidade por coronavirus,80
malhar afeta o sistema imunologico,o que afeta seu sistema imunologico,65,como o exercicio afeta o sistema imunologico,75,como a atividade fisica afeta o sistema imunologico,75
o coronavirus vive em papelao,o coronavirus sobrevive em papelao,90,pode corona viver em papelao,90,quanto tempo o coronavirus durara em papelao,75
o que comer para fortalecer o sistema imunologico,o que comer para fortalecer meu sistema imunologico,100,alimentos para comer para fortalecer o sistema imunologico,100,o que devo comer para fortalecer meu sistema imunologico,100
como impulsionar seu sistema imunologico quando voce tem hpv,como impulsionar seu sistema imunologico se voce tiver hpv,100,como impulsionar seu sistema imunologico quando voce esta doente,75,como impulsionar seu sistema imunologico contra o hpv,100
o coronavirus veio de animais,o coronavirus veio de comer animais,45,coronavirus de animais,35,o coronavirus veio de cobras,15
como impulsionar o sistema imunologico naturalmente wikihow,como impulsionar o sistema imunologico naturalmente,75,como impulsionar seu sistema imunologico naturalmente,75,como impulsionar meu sistema imunologico naturalmente,75
o coronavirus deixa voce congestionado,o coronavirus deixa voce tonto,45,o coronavirus deixa voce confuso,65,o coronavirus deixa voce constipado,80
os caes podem passar norovirus para os humanos,os caes podem transmitir norovirus aos humanos,90,os humanos podem pegar coronavirus de caes,0,voce pode passar norovirus para caes,0
como ter um sistema imunologico forte e saudavel,como ter um sistema imunologico forte,80,como ter um sistema imunologico mais saudavel,80,como ter um sistema imunologico muito saudavel,80
que cuidados devo ter se estiver em isolamento,"se estiver em isolamento, posso receber pessoas em casa?",60,"no isolamento domiciliar, quais cuidados o paciente deve ter?",80,que cuidados devo ter na preparacao e confecao de alimentos?,0
qualquer sabao serve para higienizar,para que serve a vacina de parvovirus canino,0,podemos levar agua e sabao para a rua como alternativa ao alcool gel?,35,devo usar agua e sabao ou um desinfetante para as maos para me proteger contra covid-19?,45
como tornar o sistema imunologico fraco mais forte,como tornar forte o sistema imunologico fraco,80,como tornar o sistema imunologico mais forte,80,como tornar seu sistema imunologico mais forte,80
por que os estados republicanos sao mais relutantes em emitir ordens de permanencia em casa para mitigar a covid-19 em comparacao com os democratas,por que covid-19 matou mais cristaos em comparacao com os muculmanos?,0,aviso de permanencia em casa de cobicado 19 cingapura,0,por que os eua estao lutando tanto em comparacao com outros paises quando se trata de testes para covid-19?,0
o que e melhor para impulsionar seu sistema imunologico,o que e melhor para impulsionar o sistema imunologico,90,qual e o melhor suco para impulsionar seu sistema imunologico,35,qual e o melhor produto para impulsionar seu sistema imunologico,80
que vitamina aumenta seu sistema imunologico,que comida aumenta seu sistema imunologico,0,que vitamina ajuda seu sistema imunologico,80,que vitamina fortalece seu sistema imunologico,80
como posso impulsionar meu sistema imunologico para lutar contra o cancer,como posso impulsionar meu sistema imunologico para lutar contra o hpv,0,como fortalecer meu sistema imunologico para lutar contra o cancer,80,como construir seu sistema imunologico para lutar contra o cancer,80
como evitar o fumo ambiental em casa durante o periodo de confinamento,gostaria de deixar de fumar como posso obter apoio,60,e o coronavirus contagioso durante o periodo de incubacao,0,como deve ser feito o periodo de quarentena em casa para quem esta com sintomas?,0
dicas para manter o sistema imunologico saudavel,alimentos para manter um sistema imunologico saudavel,35,vitaminas para manter um sistema imunologico saudavel,35,como manter o sistema imunologico saudavel,90
noticias de virus corona na china,noticias atualizacao virus corona na china,90,virus corona na china noticias hindi,0,noticias sobre virus corona na china,90
maneira mais facil de impulsionar seu sistema imunologico,maneira mais rapida de impulsionar o sistema imunologico,65,maneira rapida de impulsionar seu sistema imunologico,65,qual e a maneira mais rapida de impulsionar seu sistema imunologico,65
como o coronavirus de,como funciona o bloqueio de coronavirus,0,como funciona o teste de coronavirus,0,como o coronavirus afeta o mercado de acoes,0
coronavirus em chicago 2020,coronavirus em chicago illinois,35,e coronavirus em chicago,80,coronavirus confirmado em chicago,80
coronavirus na china youtube,coronavirus na china no youtube,90,youtube china coronavirus,90,pandemia de coronavirus do youtube na china ausser kontrolle,75
maneiras de manter seu sistema imunologico saudavel,melhores maneiras de manter seu sistema imunologico saudavel,90,maneiras de manter o sistema imunologico saudavel,100,maneiras de manter um sistema imunologico saudavel,100
covid-19 e covid-19 sao iguais,como covid-19 e sars cov sao semelhantes?,80,quais sao as diferencas entre influenza e covid-19?,40,os testes covid-19 sao precisos?,0
o que fortalece seu sistema imunologico,que vitamina fortalece seu sistema imunologico,35,que comida fortalece o seu sistema imunologico,35,que comida fortalece o sistema imunologico,35
todos os empregos voltarao rapidamente quando a pandemia covid-19 acabar,o que precisa mudar quando a pandemia covid-19 acabar?,0,quando covid-19 acabar?,45,que setores criariam empregos apos a pandemia covid-19?,50
e o virus corona na nigeria,http // e o virus corona na nigeria,90,noticias do virus corona na nigeria,90,atualizacao do virus corona na nigeria,90
como os sintomas do coronavirus comecam,como os sintomas do coronavirus,70,quais os sintomas do coronavirus?,65,quais os sintomas do covid-19?,65
posso continuar minhas atividades ao ar livre por exemplo corro na praia ou no parque posso continuar neste momento,coronavirus posso ir ao parque,80,"coronavirus, posso ir ao parque reino unido?",75,e arriscado continuar trabalhando?,0
os sintomas de covid-19 aparecem rapidamente,os sintomas de covid-19 aparecem rapido?,100,quais sintomas de covid-19 aparecem primeiro?,50,quanto tempo apos a exposicao os sintomas do coronavirus aparecem,50
o que significa se voce tem um sistema imunologico fraco,o que significa quando voce tem um sistema imunologico fraco,100,o que significa se voce tem um sistema imunologico ruim,100,o que significa se voce tem um sistema imunologico baixo,100
havera medida de restricao ou bloqueio a pessoascom sintomas vindas de outras cidades,existe alguma medida de monitoramento de temperatura de pessoas vindas da china ou de outro pais com registro do covid-19?,70,havera um covid-19 20 ou superior?,0,adicionar pimenta a sopa ou outras refeicoes pode ajudar a prevenir ou curar o covid-19?,0
ultimas noticias sobre vacina contra coronavirus na india,ultimas noticias sobre coronavirus na india,100,ultimas noticias sobre virus corona na india,100,ultimas noticias na india sobre virus corona,100
os pacientes com covid-19 devem tomar advil,os pacientes com covid-19 devem ser intubados?,0,os pacientes com covid-19 devem ser ventilados?,0,os pacientes com covid-19 devem evitar o ibuprofeno?,30
como voce pode manter seu sistema imunologico saudavel,como voce pode manter um sistema imunologico saudavel,100,como manter seu sistema imunologico saudavel,100,o que voce pode fazer para manter seu sistema imunologico saudavel,100
como seu corpo luta contra o virus da gripe,como seu corpo luta contra virus,60,como seu corpo luta contra o virus,60,como seu corpo luta contra os virus,60
coronavirus originado,coronavirus originado de onde,100,coronavirus originado dos eua,0,coronavirus originado de nos,0
coronavirus confirmado nas filipinas,coronavirus nas filipinas,70,coronavirus nas filipinas 2020,70,coronavirus nas noticias filipinas,80
como covid-19 comeca,qual covid-19 comeca?,70,onde covid-19 comeca?,30,como o coronavirus comeca,100
coronavirus na coreia ultimas noticias,virus corona na coreia ultimas noticias,100,ultimas noticias corona virus coreia,100,corona virus ultimas noticias coreia,100
laboratorio de origem de coronavirus,e coronavirus de um laboratorio,80,covid-19 veio de um laboratorio?,80,mercado de origem de coronavirus,0
o virus corona e um virus rna ou dna,o virus corona e um virus rna ou dna,100,e o virus corona rna ou virus dna,100,e o virus corona rna ou dna,100
coronavirus hku1 pcr,coronavirus hku1 tailandia,0,coronavirus hku1 deutsch,0,coronavirus hku1 2020,70
novo caso de coronavirus nos eua,qualquer caso de coronavirus nos eua,70,primeiro caso de coronavirus nos eua,45,coronavirus nos eua primeiro caso,45
quanto tempo dura o coronavirus em um cdc de superficie,quanto tempo dura o coronavirus cdc,0,quanto tempo o coronavirus dura em uma superficie,80,quanto tempo dura o coronavirus em um objeto,80
coronavirus iniciado por,coronavirus iniciado por morcegos,70,virus corona iniciado por,80,qual e o coronavirus iniciado por,80
como impulsionar o sistema imunologico apos antibioticos,melhor maneira de impulsionar o sistema imunologico apos antibioticos,100,como reconstruir o sistema imunologico apos antibioticos,10,como aumentar o sistema imunologico apos antibioticos,100
quais devem ser os cuidados com os bebes,como estimular o sistema imunologico em bebes,60,como construir um sistema imunologico forte em bebes,60,como fortalecer o sistema imunologico de seus bebes,60
atualizacao de coronavirus para os eua,atualizacao de coronavirus nos eua,100,atualizacao de casos de coronavirus eua,100,coronavirus se espalhou para os eua,45
coronavirus em nyc chinatown,coronavirus nyc chinatown confirmado,80,coronavirus em nyc,90,coronavirus confirmado em nyc,80
como construir o sistema imunologico durante a quimio,como fortalecer meu sistema imunologico durante a quimio,100,como construir seu sistema imunologico apos a quimio,100,mantendo o sistema imunologico forte durante a quimio,100
coronavirus no quirguistao ultimas noticias,coronavirus no quirguistao bishkek,80,coronavirus ultimas noticias no paquistao,0,ultimas noticias sobre coronavirus no canada,0
como construir o sistema imunologico quando doente,como aumentar o sistema imunologico quando doente,100,como melhorar o sistema imunologico quando doente,100,como impulsionar o sistema imunologico quando doente,100
casos de coronavirus na africa,casos de coronavirus na africa do sul,10,quantos casos de coronavirus na africa do sul,70,casos de virus corona na africa do sul,90
quantos casos de coronavirus em augusta ga,casos de coronavirus em ga,70,coronavirus em ga,90,quantas mortes por coronavirus em ga,80
em que o virus corona animal encontrado,animal de origem do virus corona,100,e o virus corona encontrado em frango,60,coronavirus e causado por qual animal,80
como o coronavirus se compara a gripe,como o coronavirus se compara a praga,10,como o coronavirus se compara,50,como o covid-19 se compara a outros virus?,70
como voce deixa seu sistema imunologico mais forte,como voce pode tornar seu sistema imunologico mais forte,100,como seu sistema imunologico fica mais forte,100,como tornar seu sistema imunologico mais forte,100
como ter certeza de que seu sistema imunologico e forte,como ter um sistema imunologico forte e saudavel,60,como posso ter certeza de que meu filho continua recebendo sua educacao?,0,como dizer que seu sistema imunologico e forte,90
quanto tempo leva para o virus corona mostrar os sintomas,quanto tempo leva para o virus corona mostrar os sintomas,100,quanto tempo o coronavirus leva para mostrar os sintomas,100,quanto tempo leva o coronavirus para mostrar os sintomas,100
quais medidas estao sendo tomadas para proteger os eua suprimento de sangue do virus que causa covid-19,quais sao as medidas de seguranca tomadas globalmente para prevenir covid-19?,0,que medidas os pais devem tomar para proteger os filhos?,0,por quais razoes os funcionarios do hospital estao sendo expostos ao covid-19?,0
mapa de infeccao do virus corona,mapa do virus corona de casos americanos,40,mapa de infeccao covid-19 eua,40,dados gis do mapa de infeccao por coronavirus,80
que medidas devem ser tomadas para garantir que agua potavel seja usada na producao de alimentos durante esta pandemia,como as instalacoes de alimentos devem ser limpas / desinfetadas durante esta pandemia?,50,que medidas adicionais devem ser tomadas nos locais de trabalho e para empregos de alto risco?,10,que medidas adicionais devem ser tomadas nos locais de trabalho e para empregos de medio risco?,10
quais sao os sintomas mais comuns de covid-19,quais sao alguns equivocos comuns sobre covid-19?,0,quais sao os sintomas?,70,quais sao os sintomas da covid-19,70
tratamento com coronavirus hku1,tratamento com medicamento para coronavirus,50,coronavirus hku1 rna,0,coronavirus hku1 2020,0
vacina contra coronavirus romenia,vacina contra coronavirus,60,e coronavirus na romenia,80,vacina contra cinomose canina contra sarampo,0
coronavirus na florida ultimas noticias,coronavirus na florida,80,coronavirus e florida,80,coronavirus nos eua florida,80
o que e bom para um sistema imunologico saudavel,o que e um bom suplemento para o sistema imunologico,60,o que levar para um sistema imunologico saudavel,80,o que comer para um sistema imunologico saudavel,80
coronavirus posso andar la fora,coronavirus posso correr la fora,100,coronavirus voce pode ir la fora,80,o coronavirus esta no ar la fora,80
o lisol diz que mata o coronavirus,o que e coronavirus humano em lisol,70,o que a fe islamica diz sobre covid-19?,0,e coronavirus em lisol,80
e verdade que 5g espalha o covid-19,e verdade que aqueles que receberam vacinacao bcg teriam imunidade contra covid-19?,0,por que tantas pessoas acreditam que ha uma conexao entre a tecnologia covid-19 e 5g?,100,e verdade que os tipos de sangue o + sao imunes ao covid-19?,0
o que posso fazer se meu filho tiver dificuldades para se ajustar a novas rotinas e seguir as recomendacoes,como posso me preparar caso a creche escolar ou a universidade do meu filho seja dispensada,50,como posso ter certeza de que meu filho continua recebendo sua educacao?,45,posso tocar e segurar meu bebe recem-nascido se eu tiver covid-19?,0
o covid-19 ira embora,o covid-19 ira embora no verao?,60,o covid-19 ira embora na primavera?,60,o covid-19 algum dia ira embora?,100
covid-19 e curavel,coronavirus e curavel,100,e coronavirus curavel em humanos,100,coronavirus e curavel ou nao,100
vacina contra coronavirus para caes,vacina contra coronavirus em caes,100,vacina contra cinomose canina em caes,0,vacina de coronavirus para caes,100
casos confirmados de coronavirus em arkansas,onde estao os casos de coronavirus em arkansas,90,e coronavirus em arkansas,80,casos confirmados de coronavirus em nos,0
como manter seu sistema imunologico forte e saudavel,como manter o sistema imunologico forte e saudavel,100,como manter seu sistema imunologico saudavel,80,como manter seu sistema imunologico forte,80
quais alimentos aumentam meu sistema imunologico,quais alimentos aumentam o sistema imunologico,100,quais alimentos aumentam naturalmente o seu sistema imunologico,100,quais alimentos e bebidas aumentam seu sistema imunologico,100
virus corona da india confirmado,virus corona da india mumbai,0,bangalore virus corona da india,0,virus corona da india afetado,70
a oms recomenda o uso de mascaras com valvulas expiratorias para prevenir a transmissao de covid-19,que tipo de mascaras sao recomendadas para proteger os profissionais de saude da exposicao ao covid-19,60,e recomendado o uso de mascaras de protecao,40,o que a oms recomenda para usuarios de tabaco?,0
novo mapa de infeccao por coronavirus,novo tratamento para infeccao por coronavirus,0,dados gis do mapa de infeccao por coronavirus,80,mapa do pais com infeccao por coronavirus,80
existe alguma orientacao especifica para gestantes que comecem a apresentar sintomas de covid-19,gravidas correm risco maior,80,as mulheres gravidas com covid-19 tem risco aumentado de desfecho adverso na gravidez,70,covid-19 e especialmente prejudicial para mulheres gravidas,70
quantos casos de coronavirus em west hollywood,casos de coronavirus mapa dos eua,80,mapa de infeccao covid-19 eua,80,onde esta o coronavirus no mapa dos eua,80
que alternativas eu tenho se nao houver desinfetantes para as maos disponiveis,"se eu nao conseguir encontrar desinfetante para as maos na loja, posso fazer o meu?",100,eu tenho permissao para sair?,0,devo fazer meu proprio desinfetante para as maos se nao conseguir encontra-lo nas lojas?,100
por quanto tempo voce vomita com norovirus,por quanto tempo voce pode ser contagioso com norovirus,0,quanto tempo voce permanece contagioso com norovirus,0,quanto tempo voce fica contagioso com norovirus,0
o coronavirus afetara a industria da construcao,o coronavirus esta afetando a construcao,100,o coronavirus afetara a internet,0,o coronavirus afetara a voz,0
covid-19 esta minando nossa liberdade,como o covid-19 afetara nossa geracao?,20,o covid-19 mudara a nossa politica?,0,coronavirus e nossa patente,10
o coronavirus esta espalhado pelo ar,o coronavirus esta espalhado no ar,80,coronavirus espalhado pelo dinheiro,0,coronavirus espalhado pelo correio,0
paquistao coronavirus 4 casos,casos de coronavirus no paquistao,80,casos de coronavirus noticias no paquistao,80,casos confirmados de coronavirus no paquistao,80
quantos casos confirmados de coronavirus em nos,casos confirmados de coronavirus em nos,100,quantos casos confirmados de coronavirus em idaho,0,quantos casos confirmados de coronavirus em maine,0
por que os negros americanos estao morrendo em maior numero desde covid-19,por que os trabalhadores medicos estao adoecendo ou morrendo de covid-19 se eles estao usando equipamentos de protecao?,0,por que os americanos sao a nacao mais afetada do mundo por covid-19?,50,por que os politicos mundiais estao subestimando covid-19?,0
coreia do sul covid localizacao de 19 casos,covid 19 coreia do sul,70,covid 19 casos da coreia do sul,80,covid 19 coreia do sul cingapura,0
corona virus quanti casi na germania,coronavirus na europa mapa,80,coronavirus no mapa da europa ,80,em piemonte quanti casi di corona virus ci sono,0
voce esta entediado de ficar em casa devido a covid-19,por quanto tempo o publico americano esta disposto a ficar em casa devido a covid-19?,70,a china ainda esta bloqueada devido a covid-19?,0,devemos ficar em casa para nos proteger?,40
posso passar alcool gel na mao de recem-nascidos e criancas,diante da falta de alcool gel podemos colocar gel de cabelo no alcool 70 liquido como alternativa?,0,"o alcool 92% e eficiente? e o alcool de cereais 93%, eles tem a mesma funcao do alcool gel 70%?",0,o alcool em gel substitui a lavagem com agua e sabao?,50
status do coronavirus no ira,ultimas noticias do virus corona no ira,80,casos de coronavirus no ira,80,status do coronavirus na india,0
voce pode ter dois virus ao mesmo tempo,posso ter gripe e covid-19 ao mesmo tempo,80,quanto tempo voce pode ter o norovirus,0,por quanto tempo voce pode ter norovirus por,0
noticias falsas sobre coronavirus india,noticias sobre coronavirus na india,80,ultimas noticias sobre coronavirus na india,80,noticias sobre coronavirus india em marati,40
e se meu filho precisar ir ao hospital,quem deve ir ao hospital,80,o que farao comigo quando eu chegar no hospital ou posto de saude,75,"se nao ha cura, por que ir ao hospital a menos que tenha problemas respiratorios?",0
foi o homem covid-19 feito,o covid-19 foi feito em um laboratorio,100,coronavirus e feito pelo homem,100,coronavirus feito pelo homem hiv,70
mapa-mundi do contador em tempo real da pandemia de coronavirus,pandemia de coronavirus em tempo real,80,contador de pandemia de coronavirus,90,contagem de mapas mundiais em tempo real de pandemia de coronavirus,100
quantos casos de coronavirus em israel,casos de coronavirus em israel hoje,100,e coronavirus em israel,100,vacina de coronavirus israel,0
vacina para o coronavirus,existe vacina para covid-19?,100,existe uma vacina para o coronavirus?,100,vacina de coronavirus para caes,50
como manter o sistema imunologico forte durante a gravidez,como manter o sistema imunologico ativo durante a gravidez,100,como manter seu sistema imunologico saudavel durante a gravidez,100,como manter o sistema imunologico forte durante a quimioterapia,0
coronavirus em condados de michigan,coronavirus em quarentena de michigan,30,coronavirus em casos de michigan,70,casos de coronavirus em michigan,50
o coronavirus pode causar nauseas,pode o coronavirus causar tontura,90,pode o coronavirus causar vomito,30,o coronavirus pode causar nausea,100
